concept:name,case:concept:name,time:timestamp
a54,1,2024-06-07 21:34:25.493914+00:00
a71,1,2024-06-07 21:34:32.203093+00:00
a56,1,2024-06-07 21:34:33.838105+00:00
a55,1,2024-06-07 21:34:36.263653+00:00
a34,1,2024-06-07 21:34:39.623525+00:00
a33,1,2024-06-07 21:34:39.628525+00:00
a86,1,2024-06-07 21:34:44.332690+00:00
a30,1,2024-06-07 21:34:44.354497+00:00
a54,1,2024-06-07 21:34:45.953850+00:00
a53,1,2024-06-07 21:34:50.710163+00:00
a71,1,2024-06-07 21:34:55.612279+00:00
a73,1,2024-06-07 21:35:18.181103+00:00
a72,1,2024-06-07 21:35:21.067542+00:00
a2,1,2024-06-07 21:36:07.786630+00:00
a1,1,2024-06-07 21:36:09.585004+00:00
a6,1,2024-06-07 21:36:11.374833+00:00
a81,1,2024-06-07 21:36:11.379833+00:00
a54,1,2024-06-07 21:36:11.389833+00:00
a71,1,2024-06-07 21:36:14.976573+00:00
a56,1,2024-06-07 21:36:15.976997+00:00
a33,1,2024-06-07 21:36:15.981997+00:00
a86,1,2024-06-07 21:36:19.589518+00:00
a30,1,2024-06-07 21:36:19.603511+00:00
a54,1,2024-06-07 21:38:25.031078+00:00
a53,1,2024-06-07 21:38:34.399781+00:00
a71,1,2024-06-07 21:38:57.188581+00:00
a73,1,2024-06-07 21:39:09.440411+00:00
a72,1,2024-06-07 21:39:13.675656+00:00
a2,1,2024-06-07 21:39:18.653641+00:00
a1,1,2024-06-07 21:39:20.022290+00:00
a6,1,2024-06-07 21:39:21.043165+00:00
a55,1,2024-06-07 21:39:21.048165+00:00
a34,1,2024-06-07 21:39:23.080490+00:00
a81,1,2024-06-07 21:39:24.845055+00:00
a54,1,2024-06-07 21:39:24.855055+00:00
a33,1,2024-06-07 21:39:24.860055+00:00
a86,1,2024-06-07 21:39:29.564220+00:00
a30,1,2024-06-07 21:39:29.586027+00:00
a54,1,2024-06-07 21:39:31.185380+00:00
a53,1,2024-06-07 21:39:35.941693+00:00
a71,1,2024-06-07 21:39:40.843809+00:00
a73,1,2024-06-07 21:40:03.412633+00:00
a72,1,2024-06-07 21:40:06.299072+00:00
a2,1,2024-06-07 21:40:53.018160+00:00
a1,1,2024-06-07 21:40:54.816534+00:00
a6,1,2024-06-07 21:40:56.606363+00:00
a71,1,2024-06-07 21:40:56.611363+00:00
a56,1,2024-06-07 21:40:57.930269+00:00
a55,1,2024-06-07 21:40:59.673792+00:00
a34,1,2024-06-07 21:41:02.745611+00:00
a81,1,2024-06-07 21:41:03.999476+00:00
a54,1,2024-06-07 21:41:04.009476+00:00
a33,1,2024-06-07 21:41:04.014476+00:00
a86,1,2024-06-07 21:41:08.718641+00:00
a30,1,2024-06-07 21:41:08.740448+00:00
a54,1,2024-06-07 21:41:10.339801+00:00
a53,1,2024-06-07 21:41:15.096114+00:00
a71,1,2024-06-07 21:41:19.998230+00:00
a73,1,2024-06-07 21:41:42.567054+00:00
a72,1,2024-06-07 21:41:45.453493+00:00
a2,1,2024-06-07 21:42:32.172581+00:00
a1,1,2024-06-07 21:42:33.970955+00:00
a6,1,2024-06-07 21:42:35.760784+00:00
a71,1,2024-06-07 21:42:35.765784+00:00
a56,1,2024-06-07 21:42:36.848241+00:00
a55,1,2024-06-07 21:42:38.230868+00:00
a34,1,2024-06-07 21:42:40.321474+00:00
a81,1,2024-06-07 21:42:43.302934+00:00
a33,1,2024-06-07 21:42:43.312934+00:00
a54,1,2024-06-07 21:42:43.317934+00:00
a71,1,2024-06-07 21:42:47.688093+00:00
a56,1,2024-06-07 21:42:52.158193+00:00
a55,1,2024-06-07 21:42:53.391935+00:00
a34,1,2024-06-07 21:42:54.427935+00:00
a81,1,2024-06-07 21:42:55.804464+00:00
a86,1,2024-06-07 21:42:55.809464+00:00
a30,1,2024-06-07 21:42:55.831271+00:00
a54,1,2024-06-07 21:42:57.430624+00:00
a53,1,2024-06-07 21:43:02.186937+00:00
a71,1,2024-06-07 21:43:07.089053+00:00
a73,1,2024-06-07 21:43:29.657877+00:00
a72,1,2024-06-07 21:43:32.544316+00:00
a2,1,2024-06-07 21:44:19.263404+00:00
a1,1,2024-06-07 21:44:21.061778+00:00
a6,1,2024-06-07 21:44:22.851607+00:00
a33,1,2024-06-07 21:44:22.861607+00:00
a86,1,2024-06-07 21:44:27.565772+00:00
a54,1,2024-06-07 21:44:27.570772+00:00
a71,1,2024-06-07 21:44:34.745515+00:00
a56,1,2024-06-07 21:44:47.064482+00:00
a55,1,2024-06-07 21:44:48.539333+00:00
a34,1,2024-06-07 21:44:49.689407+00:00
a81,1,2024-06-07 21:44:51.473098+00:00
a30,1,2024-06-07 21:44:51.478098+00:00
a54,1,2024-06-07 21:44:53.077451+00:00
a53,1,2024-06-07 21:44:57.833764+00:00
