concept:name,case:concept:name,time:timestamp
a54,1,2024-06-07 21:34:25.493914+00:00
a53,1,2024-07-26 13:18:19.085596+00:00
a71,1,2024-07-26 13:18:20.130920+00:00
a56,1,2024-07-26 13:18:21.077564+00:00
a55,1,2024-07-26 13:18:22.309414+00:00
a74,1,2024-07-26 13:18:22.314414+00:00
a46,1,2024-07-26 13:18:26.042922+00:00
a89,1,2024-07-26 13:18:27.127079+00:00
a54,1,2024-07-26 13:18:39.809289+00:00
a71,1,2024-07-26 13:19:04.202913+00:00
a56,1,2024-07-26 13:19:08.814373+00:00
a55,1,2024-07-26 13:19:13.845401+00:00
a34,1,2024-07-26 13:19:15.617123+00:00
a81,1,2024-07-26 13:19:16.861964+00:00
a34,1,2024-07-26 13:19:16.866964+00:00
a74,1,2024-07-26 13:19:16.876964+00:00
a46,1,2024-07-26 13:19:22.886469+00:00
a89,1,2024-07-26 13:19:23.978192+00:00
a54,1,2024-07-26 13:19:48.493908+00:00
a71,1,2024-07-26 13:19:56.318436+00:00
a56,1,2024-07-26 13:20:29.481182+00:00
a55,1,2024-07-26 13:20:30.627724+00:00
a54,1,2024-07-26 13:20:30.632724+00:00
a53,1,2024-07-26 13:20:57.861050+00:00
a71,1,2024-07-26 13:22:24.125561+00:00
a56,1,2024-07-26 13:22:25.173745+00:00
a55,1,2024-07-26 13:22:26.167839+00:00
a34,1,2024-07-26 13:22:27.465009+00:00
a34,1,2024-07-26 13:22:27.470009+00:00
a81,1,2024-07-26 13:22:31.380047+00:00
a54,1,2024-07-26 13:22:31.390047+00:00
a74,1,2024-07-26 13:22:31.395047+00:00
a46,1,2024-07-26 13:22:37.404552+00:00
a89,1,2024-07-26 13:22:38.496275+00:00
a54,1,2024-07-26 13:23:03.011991+00:00
a71,1,2024-07-26 13:23:10.836519+00:00
a56,1,2024-07-26 13:23:43.999265+00:00
a55,1,2024-07-26 13:23:45.145807+00:00
a34,1,2024-07-26 13:23:49.975047+00:00
a81,1,2024-07-26 13:23:53.885085+00:00
a53,1,2024-07-26 13:23:53.890085+00:00
a71,1,2024-07-26 13:23:54.935409+00:00
a56,1,2024-07-26 13:23:55.882053+00:00
a55,1,2024-07-26 13:23:57.113903+00:00
a34,1,2024-07-26 13:23:58.258952+00:00
a54,1,2024-07-26 13:23:58.268952+00:00
a53,1,2024-07-26 13:24:25.497278+00:00
a74,1,2024-07-26 13:24:25.502278+00:00
a46,1,2024-07-26 13:24:29.230786+00:00
a89,1,2024-07-26 13:24:30.314943+00:00
a54,1,2024-07-26 13:24:42.997153+00:00
a71,1,2024-07-26 13:25:07.390777+00:00
a56,1,2024-07-26 13:25:12.002237+00:00
a55,1,2024-07-26 13:25:17.033265+00:00
a34,1,2024-07-26 13:25:18.804987+00:00
a81,1,2024-07-26 13:25:20.049828+00:00
a71,1,2024-07-26 13:25:20.054828+00:00
a56,1,2024-07-26 13:25:21.103012+00:00
a55,1,2024-07-26 13:25:22.097106+00:00
a34,1,2024-07-26 13:25:23.394276+00:00
a74,1,2024-07-26 13:25:23.404276+00:00
a46,1,2024-07-26 13:25:29.413781+00:00
a89,1,2024-07-26 13:25:30.505504+00:00
a54,1,2024-07-26 13:25:30.510504+00:00
a53,1,2024-09-13 05:09:24.102186+00:00
a71,1,2024-09-13 05:09:25.147510+00:00
a56,1,2024-09-13 05:09:26.094154+00:00
a55,1,2024-09-13 05:09:27.326004+00:00
a34,1,2024-09-13 05:09:28.471053+00:00
a54,1,2024-09-13 05:09:28.476053+00:00
a71,1,2024-09-13 05:09:36.300581+00:00
a56,1,2024-09-13 05:10:09.463327+00:00
a55,1,2024-09-13 05:10:10.609869+00:00
a34,1,2024-09-13 05:10:15.439109+00:00
a81,1,2024-09-13 05:10:19.349147+00:00
a54,1,2024-09-13 05:10:19.359147+00:00
a74,1,2024-09-13 05:10:19.364147+00:00
a46,1,2024-09-13 05:10:25.373652+00:00
a89,1,2024-09-13 05:10:26.465375+00:00
a54,1,2024-09-13 05:10:50.981091+00:00
a71,1,2024-09-13 05:10:58.805619+00:00
a56,1,2024-09-13 05:11:31.968365+00:00
a55,1,2024-09-13 05:11:33.114907+00:00
a34,1,2024-09-13 05:11:37.944147+00:00
a81,1,2024-09-13 05:11:41.854185+00:00
a53,1,2024-09-13 05:11:41.859185+00:00
a71,1,2024-09-13 05:13:08.123696+00:00
a56,1,2024-09-13 05:13:09.171880+00:00
a55,1,2024-09-13 05:13:10.165974+00:00
a34,1,2024-09-13 05:13:11.463144+00:00
a74,1,2024-09-13 05:13:11.473144+00:00
a46,1,2024-09-13 05:13:17.482649+00:00
a89,1,2024-09-13 05:13:18.574372+00:00
a54,1,2024-09-13 05:13:43.090088+00:00
a54,1,2024-09-13 05:13:43.095088+00:00
a53,1,2024-10-31 20:57:36.686770+00:00
a71,1,2024-10-31 20:57:37.732094+00:00
a56,1,2024-10-31 20:57:38.678738+00:00
a55,1,2024-10-31 20:57:39.910588+00:00
a34,1,2024-10-31 20:57:41.055637+00:00
a71,1,2024-10-31 20:57:41.060637+00:00
a56,1,2024-10-31 20:58:14.223383+00:00
a55,1,2024-10-31 20:58:15.369925+00:00
a34,1,2024-10-31 20:58:20.199165+00:00
a81,1,2024-10-31 20:58:24.109203+00:00
a74,1,2024-10-31 20:58:24.119203+00:00
a46,1,2024-10-31 20:58:27.847711+00:00
a89,1,2024-10-31 20:58:28.931868+00:00
a54,1,2024-10-31 20:58:41.614078+00:00
a71,1,2024-10-31 20:59:06.007702+00:00
a56,1,2024-10-31 20:59:10.619162+00:00
a55,1,2024-10-31 20:59:15.650190+00:00
a54,1,2024-10-31 20:59:15.655190+00:00
a53,1,2024-12-19 12:43:09.246872+00:00
a71,1,2024-12-19 12:43:10.292196+00:00
a56,1,2024-12-19 12:43:11.238840+00:00
a55,1,2024-12-19 12:43:12.470690+00:00
a34,1,2024-12-19 12:43:13.615739+00:00
a34,1,2024-12-19 12:43:13.620739+00:00
a81,1,2024-12-19 12:43:14.865580+00:00
a54,1,2024-12-19 12:43:14.875580+00:00
a53,1,2024-12-19 12:43:42.103906+00:00
a74,1,2024-12-19 12:43:42.108906+00:00
a46,1,2024-12-19 12:43:45.837414+00:00
a89,1,2024-12-19 12:43:46.921571+00:00
a54,1,2024-12-19 12:43:59.603781+00:00
