concept:name,time:timestamp,case:concept:name,routine_type,log_number
insertValue_name_Web,2024-06-08 08:34:25.493914+11:00,805,63,7
insertValue_surname_Web,2024-06-08 08:34:39.403914+11:00,805,63,7
insertValue_age_Web,2024-06-08 08:34:47.190914+11:00,805,63,7
insertValue_type_Web,2024-06-08 08:34:58.409914+11:00,805,63,7
clickButton_B1_Web,2024-06-08 08:35:01.388914+11:00,805,63,7
insertValue_B_Excel,2024-06-08 08:35:05.300914+11:00,805,63,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:35:05.301914+11:00,805,63,7
copy_value2_Web,2024-06-08 08:35:10.875914+11:00,805,63,7
paste_Excel_2_C,2024-06-08 08:35:14.239914+11:00,805,63,7
paste_finalCode_Web,2024-06-08 08:35:17.947914+11:00,805,63,7
insertValue_userID_Web,2024-06-08 08:35:18.947914+11:00,1,2,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:35:18.948914+11:00,1,2,2
goToUrl_www_webpage_com_Web,2024-06-08 08:35:24.717914+11:00,1,2,2
insertValue_username_Web,2024-06-08 08:35:37.068914+11:00,1,2,2
insertValue_password_Web,2024-06-08 08:35:48.933914+11:00,1,2,2
clickButton_confirm_Web,2024-06-08 08:35:59.824914+11:00,1,2,2
waitResponse_www_webpage_com_ok_Web,2024-06-08 08:36:02.260914+11:00,1,2,2
clickButton_Button1_Web,2024-06-08 08:36:18.056914+11:00,1,2,2
clickButton_B2_Web,2024-06-08 08:36:21.496914+11:00,1,2,2
insertValue_Constant_Web,2024-06-08 08:36:25.406914+11:00,1,2,2
copy_B_Excel_Special_code,2024-06-08 08:36:28.259914+11:00,1,2,2
paste_Special_code_Web,2024-06-08 08:36:31.540914+11:00,1,2,2
copy_B_Excel_Area,2024-06-08 08:36:33.633914+11:00,1,2,2
paste_Area_Web,2024-06-08 08:36:35.837914+11:00,1,2,2
clickButton_OK_Web,2024-06-08 08:36:39.360914+11:00,1,2,2
clickButton_Cancel_Web,2024-06-08 08:36:40.360914+11:00,805,63,7
insertValue_name_Web,2024-06-08 08:36:41.360914+11:00,806,63,7
insertValue_surname_Web,2024-06-08 08:36:46.907914+11:00,806,63,7
insertValue_age_Web,2024-06-08 08:36:51.103914+11:00,806,63,7
insertValue_type_Web,2024-06-08 08:36:59.639914+11:00,806,63,7
clickButton_B1_Web,2024-06-08 08:37:00.629914+11:00,806,63,7
insertValue_B_Excel,2024-06-08 08:37:04.515914+11:00,806,63,7
insertValue_userID_Web,2024-06-08 08:37:05.515914+11:00,2,2,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:37:11.201914+11:00,2,2,2
goToUrl_www_webpage_com_Web,2024-06-08 08:37:25.371914+11:00,2,2,2
insertValue_username_Web,2024-06-08 08:37:35.458914+11:00,2,2,2
insertValue_password_Web,2024-06-08 08:37:38.401914+11:00,2,2,2
clickButton_confirm_Web,2024-06-08 08:37:45.016914+11:00,2,2,2
waitResponse_www_webpage_com_ok_Web,2024-06-08 08:37:48.740914+11:00,2,2,2
clickButton_Button1_Web,2024-06-08 08:37:59.052914+11:00,2,2,2
clickButton_B2_Web,2024-06-08 08:38:02.098914+11:00,2,2,2
insertValue_Constant_Web,2024-06-08 08:38:06.042914+11:00,2,2,2
copy_B_Excel_Special_code,2024-06-08 08:38:11.243914+11:00,2,2,2
paste_Special_code_Web,2024-06-08 08:38:15.209914+11:00,2,2,2
copy_B_Excel_Area,2024-06-08 08:38:17.850914+11:00,2,2,2
paste_Area_Web,2024-06-08 08:38:20.165914+11:00,2,2,2
clickButton_OK_Web,2024-06-08 08:38:22.800914+11:00,2,2,2
goToUrl_www_webpage2_com_Web,2024-06-08 08:38:23.800914+11:00,806,63,7
copy_value2_Web,2024-06-08 08:38:30.881914+11:00,806,63,7
paste_Excel_2_C,2024-06-08 08:38:35.005914+11:00,806,63,7
paste_finalCode_Web,2024-06-08 08:38:36.825914+11:00,806,63,7
clickButton_Cancel_Web,2024-06-08 08:38:41.429914+11:00,806,63,7
insertValue_userID_Web,2024-06-08 08:38:42.429914+11:00,3,2,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:38:48.405914+11:00,3,2,2
goToUrl_www_webpage_com_Web,2024-06-08 08:39:01.957914+11:00,3,2,2
insertValue_name_Web,2024-06-08 08:39:02.957914+11:00,807,63,7
insertValue_surname_Web,2024-06-08 08:39:14.812914+11:00,807,63,7
insertValue_age_Web,2024-06-08 08:39:22.744914+11:00,807,63,7
insertValue_type_Web,2024-06-08 08:39:39.191914+11:00,807,63,7
clickButton_B1_Web,2024-06-08 08:39:53.262914+11:00,807,63,7
insertValue_B_Excel,2024-06-08 08:39:55.052914+11:00,807,63,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:39:57.645914+11:00,807,63,7
copy_value2_Web,2024-06-08 08:40:02.565914+11:00,807,63,7
paste_Excel_2_C,2024-06-08 08:40:04.895914+11:00,807,63,7
paste_finalCode_Web,2024-06-08 08:40:07.284914+11:00,807,63,7
clickButton_Cancel_Web,2024-06-08 08:40:10.112914+11:00,807,63,7
insertValue_username_Web,2024-06-08 08:40:11.112914+11:00,3,2,2
insertValue_password_Web,2024-06-08 08:40:15.897914+11:00,3,2,2
clickButton_confirm_Web,2024-06-08 08:40:25.811914+11:00,3,2,2
waitResponse_www_webpage_com_ok_Web,2024-06-08 08:40:28.349914+11:00,3,2,2
