concept:name,time:timestamp,case:concept:name,routine_type,log_number
insertValue_name_Web,2024-06-08 08:34:25.493914+11:00,1,81,9
insertValue_surname_Web,2024-06-08 08:34:37.317914+11:00,1,81,9
insertValue_age_Web,2024-06-08 08:34:41.568914+11:00,1,81,9
insertValue_type_Web,2024-06-08 08:34:53.730914+11:00,1,81,9
clickButton_confirm_Web,2024-06-08 08:35:07.552914+11:00,1,81,9
clickButton_B4_Web,2024-06-08 08:35:10.144914+11:00,1,81,9
clickButton_Clients_Web,2024-06-08 08:35:13.960914+11:00,1,81,9
insertValue_clientID_Web,2024-06-08 08:35:17.001914+11:00,1,81,9
pressKey_Web,2024-06-08 08:35:22.216914+11:00,1,81,9
clickButton_update_Web,2024-06-08 08:35:22.897914+11:00,1,81,9
insertValue_address_Web,2024-06-08 08:35:25.438914+11:00,1,81,9
clickButton_Clients_Web,2024-06-08 08:35:25.443914+11:00,1,51,6
insertValue_clientID_Web,2024-06-08 08:35:27.091914+11:00,1,51,6
insertValue_userID_Web,2024-06-08 08:35:27.096914+11:00,1,3,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:35:38.128914+11:00,1,3,2
goToUrl_www_webpage_com_Web,2024-06-08 08:35:46.396914+11:00,1,3,2
insertValue_username_Web,2024-06-08 08:35:58.054914+11:00,1,3,2
insertValue_password_Web,2024-06-08 08:36:00.297914+11:00,1,3,2
clickButton_confirm_Web,2024-06-08 08:36:02.366914+11:00,1,3,2
waitResponse_www_webpage_com_wrong_Web,2024-06-08 08:36:04.147914+11:00,1,3,2
copy_userID_Web,2024-06-08 08:36:13.394914+11:00,1,3,2
paste_newID_Web,2024-06-08 08:36:15.067914+11:00,1,3,2
clickButton_B3_Web,2024-06-08 08:36:17.839914+11:00,1,3,2
paste_A_Excel,2024-06-08 08:36:20.127914+11:00,1,3,2
copy_B_Excel_Area,2024-06-08 08:36:22.659914+11:00,1,3,2
paste_Area_Web,2024-06-08 08:36:25.873914+11:00,1,3,2
clickButton_OK_Web,2024-06-08 08:36:29.263914+11:00,1,3,2
pressKey_Web,2024-06-08 08:36:29.268914+11:00,1,51,6
clickButton_update_Web,2024-06-08 08:36:32.666914+11:00,1,51,6
insertValue_address_Web,2024-06-08 08:36:35.168914+11:00,1,51,6
insertValue_country_Web,2024-06-08 08:36:46.694914+11:00,1,51,6
openFile_Excel,2024-06-08 08:36:59.664914+11:00,1,51,6
copy_address_Web,2024-06-08 08:37:00.695914+11:00,1,51,6
paste_Excel_5_A,2024-06-08 08:37:07.231914+11:00,1,51,6
saveFile_save_Excel,2024-06-08 08:37:11.493914+11:00,1,51,6
clickButton_ConfirmWithFile_Web,2024-06-08 08:37:14.989914+11:00,1,51,6
insertValue_country_Web,2024-06-08 08:37:14.994914+11:00,1,81,9
clickButton_UnbindFile_Web,2024-06-08 08:37:23.644914+11:00,1,81,9
clickButton_OK_Web,2024-06-08 08:37:26.771914+11:00,1,81,9
clickButton_Confirm_Web,2024-06-08 08:37:29.655914+11:00,1,81,9
clickButton_OK_Web,2024-06-08 08:37:31.917914+11:00,1,81,9
insertValue_userID_Web,2024-06-08 08:37:31.927914+11:00,1,3,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:37:46.368914+11:00,1,3,2
goToUrl_www_webpage_com_Web,2024-06-08 08:37:53.860914+11:00,1,3,2
insertValue_username_Web,2024-06-08 08:38:01.089914+11:00,1,3,2
insertValue_name_Web,2024-06-08 08:38:01.094914+11:00,1,81,9
insertValue_surname_Web,2024-06-08 08:38:07.912914+11:00,1,81,9
insertValue_age_Web,2024-06-08 08:38:21.053914+11:00,1,81,9
insertValue_type_Web,2024-06-08 08:38:34.860914+11:00,1,81,9
clickButton_confirm_Web,2024-06-08 08:38:39.041914+11:00,1,81,9
clickButton_B4_Web,2024-06-08 08:38:43.085914+11:00,1,81,9
clickButton_Clients_Web,2024-06-08 08:38:43.090914+11:00,1,51,6
insertValue_clientID_Web,2024-06-08 08:38:44.934914+11:00,1,51,6
pressKey_Web,2024-06-08 08:38:48.922914+11:00,1,51,6
clickButton_update_Web,2024-06-08 08:38:51.728914+11:00,1,51,6
insertValue_address_Web,2024-06-08 08:38:55.992914+11:00,1,51,6
insertValue_country_Web,2024-06-08 08:39:01.228914+11:00,1,51,6
openFile_Excel,2024-06-08 08:39:01.229914+11:00,1,51,6
copy_address_Web,2024-06-08 08:39:12.208914+11:00,1,51,6
paste_Excel_5_A,2024-06-08 08:39:22.186914+11:00,1,51,6
saveFile_save_Excel,2024-06-08 08:39:24.945914+11:00,1,51,6
