concept:name,time:timestamp,case:concept:name,routine_type,log_number
openFile_Excel_Sheet1_data_xls,2024-06-08 08:34:25.493914+11:00,1,1,1
goToUrl_www_webpage_com_Web,2024-06-08 08:34:25.494914+11:00,1,1,1
insertValue_username_Web,2024-06-08 08:34:31.263914+11:00,1,1,1
insertValue_password_Web,2024-06-08 08:34:43.614914+11:00,1,1,1
clickButton_confirm_Web,2024-06-08 08:34:55.479914+11:00,1,1,1
waitResponse_www_webpage_com_ok_Web,2024-06-08 08:34:59.058914+11:00,1,1,1
clickButton_Button1_Web,2024-06-08 08:35:04.238914+11:00,1,1,1
clickButton_B2_Web,2024-06-08 08:35:07.146914+11:00,1,1,1
insertValue_ID_Web,2024-06-08 08:35:10.904914+11:00,1,1,1
copy_B_Excel_Special_code,2024-06-08 08:35:12.485914+11:00,1,1,1
paste_Special_code_Web,2024-06-08 08:35:13.425914+11:00,1,1,1
insertValue_userID_Web,2024-06-08 08:35:13.430914+11:00,1,3,2
openFile_Excel_Sheet1_data_xls,2024-06-08 08:35:24.462914+11:00,1,3,2
goToUrl_www_webpage_com_Web,2024-06-08 08:35:32.730914+11:00,1,3,2
insertValue_username_Web,2024-06-08 08:35:44.388914+11:00,1,3,2
insertValue_password_Web,2024-06-08 08:35:46.631914+11:00,1,3,2
clickButton_confirm_Web,2024-06-08 08:35:48.700914+11:00,1,3,2
waitResponse_www_webpage_com_wrong_Web,2024-06-08 08:35:50.481914+11:00,1,3,2
copy_userID_Web,2024-06-08 08:35:59.728914+11:00,1,3,2
paste_newID_Web,2024-06-08 08:36:01.401914+11:00,1,3,2
clickButton_B3_Web,2024-06-08 08:36:04.173914+11:00,1,3,2
paste_A_Excel,2024-06-08 08:36:06.461914+11:00,1,3,2
copy_B_Excel_Area,2024-06-08 08:36:08.993914+11:00,1,3,2
paste_Area_Web,2024-06-08 08:36:12.207914+11:00,1,3,2
insertValue_name_Web,2024-06-08 08:36:12.212914+11:00,1,81,9
insertValue_surname_Web,2024-06-08 08:36:24.036914+11:00,1,81,9
insertValue_age_Web,2024-06-08 08:36:28.287914+11:00,1,81,9
insertValue_type_Web,2024-06-08 08:36:40.449914+11:00,1,81,9
clickButton_confirm_Web,2024-06-08 08:36:54.271914+11:00,1,81,9
clickButton_B4_Web,2024-06-08 08:36:56.863914+11:00,1,81,9
clickButton_Clients_Web,2024-06-08 08:37:00.679914+11:00,1,81,9
insertValue_clientID_Web,2024-06-08 08:37:03.720914+11:00,1,81,9
pressKey_Web,2024-06-08 08:37:08.935914+11:00,1,81,9
clickButton_update_Web,2024-06-08 08:37:09.616914+11:00,1,81,9
insertValue_address_Web,2024-06-08 08:37:12.157914+11:00,1,81,9
insertValue_country_Web,2024-06-08 08:37:18.678914+11:00,1,81,9
clickButton_UnbindFile_Web,2024-06-08 08:37:27.328914+11:00,1,81,9
clickButton_OK_Web,2024-06-08 08:37:30.455914+11:00,1,81,9
clickButton_Confirm_Web,2024-06-08 08:37:33.339914+11:00,1,81,9
clickButton_OK_Web,2024-06-08 08:37:35.601914+11:00,1,81,9
clickButton_OK_Web,2024-06-08 08:37:35.606914+11:00,1,3,2
copy_B_Excel_Area,2024-06-08 08:37:35.611914+11:00,1,1,1
paste_Area_Web,2024-06-08 08:37:38.439914+11:00,1,1,1
clickButton_OK_Web,2024-06-08 08:37:40.995914+11:00,1,1,1
insertValue_name_Web,2024-06-08 08:37:41.005914+11:00,1,81,9
insertValue_surname_Web,2024-06-08 08:37:47.823914+11:00,1,81,9
insertValue_age_Web,2024-06-08 08:38:00.964914+11:00,1,81,9
insertValue_type_Web,2024-06-08 08:38:14.771914+11:00,1,81,9
clickButton_confirm_Web,2024-06-08 08:38:18.952914+11:00,1,81,9
clickButton_B4_Web,2024-06-08 08:38:22.996914+11:00,1,81,9
clickButton_Clients_Web,2024-06-08 08:38:25.380914+11:00,1,81,9
insertValue_clientID_Web,2024-06-08 08:38:28.834914+11:00,1,81,9
